0.614983,3.90958,2172.0039
0.597929,7.7604,2170.5072
11.2905,2.6475,2184.2088
13.1298,5.61136,2178.0293
12.2003,1.05646,2174.8117
-1.87356,3.82953,2175.2435
2.275,2.19163,2173.2364
7.54,5.23251,2196.3507
-5.21593,7.56301,18315.5502
-2.11899,4.31873,2175.3181
4.31208,5.03592,2180.0235
2.17824,4.24073,2175.2770
-16.6835,14.9313,18009.9676
12.8021,6.40141,4208.6757
19.1655,1.2314,2191.6785
-9.21418,4.56567,2175.4550
4.6084,5.15785,2176.3641
-3.93326,3.4324,2177.7596
-1.26644,1.97207,2159.8674
8.26259,6.7042,2177.0150
1.77832,4.27372,5133.4676
1.17187,2.90513,1975.0364
1.17961,4.49133,2173.6885
4.9196,4.88946,2174.2121
-0.941937,4.82614,2176.3314
-2.04564,3.60295,2090.6158
-3.25837,2.62703,3076.9685
-1.16835,3.32424,2168.8612
-6.11296,7.0325,2178.5000
-2.21826,4.53897,2264.1730
-0.687754,3.01256,2173.6742
2.43513,4.38169,2171.5681
-0.226914,4.74987,2175.2723
10.6472,2.62707,2179.6106
1.10731,5.64093,2032.6054
2.51203,2.3847,2174.5144
4.5028,2.96587,2169.3767
-3.19935,5.22813,2177.8831
1.4192,4.04117,2179.0183
7.9491,4.92923,15531.6729
3.0336,3.33736,2175.0137
2.31057,4.09102,2174.4353
1.4395,2.03187,2172.2023
-4.16009,-0.369931,3515.9830
3.48209,4.85698,-304.3364
7.22523,9.50581,2175.1832
0.797262,4.13285,19386.3823
1.52502,3.85866,2187.1483
20.755,-9.31301,2514.4840
-1.29039,3.34609,19245.7362
-0.715798,4.45551,7159.0608
-2.26722,4.94456,851.5938
3.31017,2.84955,2173.3153
3.24563,3.57475,2173.1789
4.43266,3.79395,2179.0690
3.72445,4.84693,2174.1764
-0.169144,2.99183,19452.1931
-3.10897,5.33594,2173.9751
-0.329972,5.03595,2171.2274
-0.767123,4.26235,2177.5314
-16.9108,10.4616,5993.4726
1.45091,4.71326,2175.3652
10.5597,2.60164,13596.8751
-0.796571,3.10422,2175.8403
