Bincenters,tof
5,18.1459716669901
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,0
175,0
185,0
195,0
205,0
215,0
225,0
235,0
245,0
255,0
265,0
275,0
285,0
295,0
305,0
315,0
325,0
335,0
345,0
355,0
365,0
375,0
385,0
395,0
405,0
415,0
425,0
435,0
445,0
455,0
465,0
475,0
485,0
495,0
505,0
515,0
525,0
535,0
545,0
555,0
565,0
575,0
585,0
595,0
605,0
615,0
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
1215,0
1225,0
1235,0
1245,0
1255,0
1265,0
1275,0
1285,0
1295,0
1305,0
1315,0
1325,0
1335,0
1345,0
1355,0
1365,0
1375,0
1385,0
1395,0
1405,0
1415,0
1425,0
1435,0
1445,0
1455,0
1465,0
1475,0
1485,0
1495,0
1505,0
1515,0
1525,0
1535,0
1545,0
1555,0
1565,0
1575,0
1585,0
1595,0
1605,0
1615,0
1625,0
1635,0
1645,0
1655,0
1665,0
1675,0
1685,0
1695,0
1705,0
1715,0
1725,0
1735,0
1745,0
1755,0
1765,0
1775,0
1785,0
1795,0
1805,0
1815,0
1825,0
1835,0
1845,0
1855,0
1865,0
1875,0
1885,0
1895,0
1905,0
1915,0
1925,0
1935,0
1945,0
1955,0
1965,0
1975,0
1985,0
1995,0
2005,0
2015,0
2025,0
2035,0
2045,0
2055,0
2065,0
2075,0
2085,0
2095,0
2105,0
2115,0
2125,0
2135,0
2145,0
2155,0
2165,0
2175,0
2185,0
2195,0
2205,0
2215,0
2225,0
2235,0
2245,0
2255,-0.482241800892684
2265,0
2275,0
2285,0
2295,64.0022712982729
2305,66.5200294973802
2315,65.3574352804192
2325,67.0882918688143
2335,63.5350172714923
2345,46.570533669707
2355,74.6620950902387
2365,45.2003819134485
2375,64.0583163205899
2385,55.7891729089851
2395,39.2564269357656
2405,52.8152423830778
2415,15.5666275955754
2425,21.3030250339608
2435,44.5516398214632
2445,40.9983652241413
2455,34.6226726178925
2465,45.7442095866486
2475,33.439549776829
2485,49.7236809625461
2495,29.992824374151
2505,42.8246893071997
2515,38.1648655152339
2525,25.342447506307
2535,45.6826237143412
2545,45.407939452746
2555,71.1593246652436
2565,75.3929516786338
2575,70.9872835241607
2585,49.2358983116631
2595,18.3779639045216
2605,56.6826237143412
2615,56.3274597321948
2625,43.7947137589753
2635,23.9573079759363
2645,54.3685169803998
2655,35.992824374151
2665,23.2469800116437
2675,40.318012808073
2685,27.3330005821851
2695,21.3124719580827
2705,37.9722957500485
2715,31.505041723268
2725,43.1498777411217
2735,50.4489967009509
2745,61.9817426741704
2755,53.1088204929167
2765,30.0733040947021
2775,74.4845130991655
2785,67.7686442848826
2795,43.5405581214826
2805,54.1443368911314
2815,59.0022712982729
2825,50.2003819134485
2835,57.0993735687949
2845,36.6171317679022
2855,39.0993735687949
2865,41.4245620027169
2875,37.7797259848632
2885,13.3330005821851
2895,31.3685169803998
2905,34.3685169803998
2915,49.5816153696876
2925,42.2059227634388
2935,36.1293491170192
2945,42.0938327188046
2955,59.0733040947021
2965,57.6976114884533
2975,47.2714147098777
2985,63.8751934795265
2995,48.9872835241607
3005,42.8807343295168
3015,13.5200294973802
3025,50.9872835241607
3035,30.505041723268
3045,50.5760745196973
3055,42.3984925286241
3065,28.9722957500485
3075,34.992824374151
3085,19.4900539491558
3095,37.7947137589753
3105,31.5105825732583
3115,32.1348899670095
3125,15.3274597321948
3135,52.5610867455851
3145,33.8452179313022
3155,40.6826237143412
3165,32.6265786920241
3175,70.2864024839899
3185,49.4134803027363
3195,59.2864024839899
3205,48.4639844750631
3215,56.4489967009509
3225,62.342447506307
