------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jul 17 14:42:45 2017)"
"Ions Flown Separately, Comp Quality(10)"
"Number of Ions to Fly = 100"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","YES","YES","YES","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","E","KE"

        31,         4,2.143837632,         5,         1,871.9999997,-10.45157458,-17.65646589,-2100.000024,2339.290524
        32,         1,         0,         5,         1,119.9206424,0.04083137896,0.1187513125,242.720832,3.017143835
        32,         4,2.144434294,         5,         1,871.9999997,1.962084933,-20.0860861,-2100.000029,2346.536592
        33,         1,         0,         5,         1,119.9010519,0.1334030346,-0.06080522692,243.392507,2.821615882
        33,         4,2.131474433,         5,         1,       872,-1.798347569,2.609751747,-2100.000003,2346.504478
        34,         1,         0,         5,         1,119.8639762,0.146335452,0.05848873424,244.6636741,3.242706785
        34,         4,2.149469911,         5,         1,       872,-4.986070512,19.66373351,-2100.000002,2348.137343
        35,         1,         0,         5,         1,119.9314815,0.06439818944,-0.02715208787,242.3492074,2.978855161
        35,         4,2.159804587,         5,         1,871.9999992,4.582716049,10.57593246,-2100.000058,2345.777984
        36,         1,         0,         5,         1,119.9492621,0.0112785277,0.1399880808,241.7395851,2.969678293
        36,         4,2.146116861,         5,         1,871.9999995,-18.19385875,8.34300172,-2100.00004,2346.081262
        37,         1,         0,         5,         1,119.8239067,-0.01147443129,-0.0726444046,246.0374848,3.096445539
        37,         4,2.161714722,         5,         1,871.9999995,-2.696726891,6.291381714,-2100.000031,2350.717995
        38,         1,         0,         5,         1,119.926614,0.02518468466,-0.04800990454,242.5160922,2.911653716
        38,         4,2.159905298,         5,         1,871.9999998,-0.1560327655,-11.11038066,-2100.000013,2345.740164
        39,         1,         0,         5,         1,119.8916476,0.1369545229,0.1514116324,243.7149398,2.866436257
        39,         4,2.132109079,         5,         1,871.9999999,0.7068791403,7.047635162,-2100.000003,2346.558235
        40,         1,         0,         5,         1,120.0903047,0.03291786058,-0.01258287404,236.9038375, 2.9154838
        40,         4,2.146769863,         5,         1,871.9999995,-12.639878,15.31166897,-2100.000038,2339.73422
        41,         1,         0,         5,         1,120.015378,-0.0991716793,0.1479094556,239.4727538,3.110381827
        41,         4,2.157705813,         5,         1,871.9999992,6.214587226,13.68144834,-2100.000059,2342.865404
        42,         1,         0,         5,         1,119.9381631,-0.0453806232,-0.06102203981,242.1201212,2.99455455
        42,         4,2.157949783,         5,         1,871.9999992,-2.056206907,14.03064722,-2100.000059,2345.220633
        43,         1,         0,         5,         1,120.1098026,0.0423242105,-0.07162937568,236.2353393,3.081663729
        43,         4,2.148120059,         5,         1,       872,-18.29969071,8.683677373,     -2100,2339.412686
        44,         1,         0,         5,         1,120.1067483,-0.05214959295,-0.05447651342,236.340059,3.031757513
        44,         4,2.159157681,         5,         1,871.9999995,-6.212853074,12.05068505,-2100.000039,2339.29521
        45,         1,         0,         5,         1,120.0935895,-0.09013796674,0.1556859864,236.7912177,3.164730392
        45,         4,2.153408764,         5,         1,871.9999992,-15.80392324,10.18415329,-2100.000062,2339.334655
        46,         1,         0,         5,         1,119.8953567,0.006634860383,-0.1001675341,243.5877711,2.931312819
        46,         4,2.133900237,         5,         1,871.9999998,8.224383235,9.544397513,-2100.000014,2346.874266
        47,         1,         0,         5,         1,119.8227039,0.06128275369,-0.04964865471,246.0787243,3.024069721
