Bincenters,m2q
14.95,168.506119202056
15.05,160.249599702199
15.15,134.221074021948
15.25,175.65098366173
15.35,107.643852241668
15.45,114.886108901399
15.55,92.7744538612165
15.65,61.1105370109738
15.75,24.5475780708196
15.85,21.1901006608738
15.95,29.367056510831
16.05,9.81479470077102
16.15,14.9086211907967
16.25,15.1794035307796
16.35,15.9050554807653
16.45,17.1722721107168
16.55,23.4430544506996
16.65,24.8907926406397
16.75,11.1687064006854
16.85,12.0677484905968
16.95,9.98818484069679
17.05,24.612878880594
17.15,2.53331523069392
17.25,11.4323573206054
17.35,13.6093131705626
17.45,22.4323573206054
17.55,2.70313966058826
17.65,15.4359230306368
17.75,22.3349651205483
17.85,19.796966150614
17.95,12.4430544506996
18.05,23.4430544506996
18.15,11.6164445906254
18.25,15.3420965406111
18.35,4.52261810059969
18.45,20.9739220005711
18.55,17.1580092705911
18.65,8.06418278056542
18.75,8.97035629053971
18.85,14.8800955105454
18.95,8.51548668053687
19.05,2.60931317056256
19.15,0.0641827805654174
19.25,19.428791610574
19.35,6.51192097050544
19.45,16.5226181005997
19.55,16.428791610574
19.65,33.428791610574
19.75,14.612878880594
19.85,35.4252259005426
19.95,16.1544435605597
20.05,27.7934004405825
20.15,21.3385308305797
20.25,2.52974952066251
20.35,19.1544435605597
20.45,9.79696615061397
20.55,26.6057474605311
20.65,32.5190523905683
20.75,24.5154866805369
20.85,-15.2065995594175
20.95,4.96322487047689
21.05,8.60218175049974
21.15,10.508355260474
21.25,16.4252259005426
21.35,27.7827033104883
21.45,4.0570513605026
21.55,7.97035629053971
21.65,17.2411386305226
21.75,-5.7517299494146
21.85,14.2375729204912
21.95,12.1437464304655
22.05,15.6960082405254
22.15,6.42879161057398
22.25,15.7862690205197
22.35,8.33496512054828
22.45,16.5119209705054
22.55,18.7862690205197
22.65,5.71027108065108
22.75,17.060617070534
22.85,-2.7517299494146
22.95,19.0534856504712
23.05,24.8836612205768
23.15,15.3313994105169
23.25,2.51548668053687
23.35,10.508355260474
23.45,14.6888768204626
23.55,13.6960082405254
23.65,8.79340044058254
23.75,21.9667905805083
23.85,17.0570513605026
23.95,10.3349651205483
24.05,39.1508778505283
24.15,3.25540147064822
24.25,10.7898347305511
24.35,-1.11990448945457
24.45,7.15800927059112
24.55,27.5261838106311
24.65,31.1687064006854
24.75,25.9917505507282
24.85,18.6235760106882
24.95,19.4573172908253
25.05,26.8254918308652
25.15,14.9121869008281
25.25,30.0274076510423
25.35,49.5761037510709
25.45,44.857583221148
25.55,35.6948902113164
25.65,40.7887167013421
25.75,59.8172423815935
25.85,60.7555072818504
25.95,112.401595581936
26.05,123.354123322319
26.15,184.938476522661
26.25,132.24848167299
26.35,147.724745543181
26.45,258.601275343695
26.55,280.138156284421
26.65,391.378176885734
26.75,596.607500356954
26.85,737.485359809081
26.95,845.909467680415
27.05,1005.21590712071
27.15,878.455716099621
27.25,674.234642077673
27.35,487.15374877616
27.45,363.559816474932
27.55,289.557368794109
27.65,272.889886233835
27.75,234.767534063558
27.85,263.695101833721
27.95,306.705798963815
28.05,307.309098743524
28.15,233.287704483335
28.25,206.681957022804
28.35,167.577433402684
28.45,237.032303012687
28.55,177.837518612573
28.65,209.219955992739
28.75,214.190312283278
28.85,314.532408823889
28.95,362.932674754212
29.05,380.022935534206
29.15,305.326927293681
29.25,321.446831783136
29.35,254.465778362502
29.45,164.513250622119
29.55,149.221074021948
29.65,126.192548341696
29.75,96.4490678415535
29.85,78.8029795414678
29.95,78.7780195712479
30.05,83.7708881511851
30.15,49.1936663709052
30.25,23.2732300208053
30.35,32.4430544506996
30.45,22.9774877106025
30.55,25.428791610574
30.65,5.3385308305797
30.75,36.692442530494
30.85,26.3349651205483
30.95,22.8800955105454
31.05,18.3207022804226
31.15,19.3278337004855
31.25,2.04991994043976
31.35,-2.9429486394974
31.45,15.508355260474
31.55,7.69600824052544
31.65,15.876529800514
31.75,15.4252259005426
31.85,10.8693983804512
31.95,17.428791610574
32.05,14.6021817504997
32.15,8.69244253049402
32.25,30.2375729204912
32.35,4.50835526047403
32.45,25.876529800514
32.55,14.0534856504712
32.65,8.77913760045691
32.75,-3.66503487945172
32.85,15.1437464304655
32.95,15.876529800514
33.05,7.15087785052829
33.15,16.508355260474
33.25,7.8729640904826
33.35,3.05348565047117
33.45,2.41809448047975
33.55,7.04991994043976
33.65,7.50478955044262
33.75,15.3207022804226
33.85,3.59861604046833
33.95,4.50835526047403
34.05,5.9667905805083
34.15,14.1366150104027
34.25,8.42166019051116
34.35,5.32783370048546
34.45,23.2340072104598
34.55,8.32783370048546
34.65,2.50835526047403
34.75,22.4180944804798
34.85,16.3313994105169
34.95,5.23400721045975
35.05,15.6888768204626
35.15,12.1508778505283
35.25,14.0570513605026
35.35,25.876529800514
35.45,21.6200103006568
35.55,9.52261810059969
35.65,31.1687064006854
35.75,21.8076632807082
35.85,8.08201133072248
35.95,17.9086211907967
36.05,28.0820113307225
36.15,0.096274170848119
36.25,11.8290575408967
36.35,40.5582752009138
36.45,26.6627988210337
36.55,-2.42033053889773
36.65,23.8611489311794
36.75,55.7815852812793
36.85,44.7994138314364
36.95,41.2614148615021
37.05,42.1961140517276
37.15,53.4633306816791
37.25,53.3006376718476
37.35,88.610642822176
37.45,110.346991902256
37.55,100.108300952556
37.65,168.56673627259
37.75,212.731876963244
37.85,228.58701250357
37.95,181.157102863787
38.05,254.033632664301
38.15,240.733206614857
38.25,314.714260035491
38.35,360.41739969608
38.45,497.701326846979
38.55,494.024476808224
38.65,753.004412199649
38.75,840.377482101334
38.85,901.801589972667
38.95,1013.03559718313
39.05,1015.55933331294
39.15,885.394192622282
39.25,808.10781779056
39.35,681.84885060988
39.45,569.724050758781
39.55,424.061251937747
39.65,560.423413086934
39.75,511.481582476645
39.85,430.662104036634
39.95,426.005318606454
40.05,402.143051646065
40.15,410.020699475788
40.25,418.082434575531
40.35,437.746351425774
40.45,374.7606142659
40.55,459.377058856525
40.65,567.191853557296
40.75,608.504306388447
40.85,789.481794099049
40.95,785.260931699507
41.05,810.351192479501
41.15,744.06369961857
41.25,613.328468567699
41.35,534.980358636234
41.45,366.650077254926
41.55,350.246245614572
41.65,265.316230163587
41.75,238.277007353241
41.85,244.244915962958
41.95,166.060828692938
42.05,200.021605882593
42.15,163.35768903235
42.25,111.679509341982
42.35,123.408727001999
42.45,110.279243411659
42.55,87.4597649716477
42.65,89.5939323012279
42.75,69.7637567311223
42.85,58.3920164810509
42.95,58.7637567311223
43.05,56.8254918308652
43.15,51.0095791008852
43.25,54.9050554807653
43.35,34.9086211907967
43.45,29.1651406906539
43.55,21.6200103006568
43.65,39.1473121404969
43.75,17.244704340554
43.85,9.70670537061967
43.95,22.7067053706197
44.05,16.5226181005997
44.15,23.0677484905968
44.25,6.70313966058826
44.35,22.2411386305226
44.45,20.1544435605597
44.55,31.876529800514
44.65,13.2340072104598
44.75,42.508355260474
44.85,17.4252259005426
44.95,31.9632248704769
45.05,21.6995739505569
45.15,21.060617070534
45.25,38.2482700505854
45.35,20.4180944804798
45.45,23.3207022804226
45.55,17.6093131705626
45.65,10.6093131705626
45.75,11.3349651205483
45.85,17.9667905805083
45.95,12.5986160404683
46.05,7.88009551054543
46.15,-4.39068682943744
46.25,7.15087785052829
46.35,11.876529800514
46.45,14.3313994105169
46.55,13.5154866805369
46.65,7.0570513605026
46.75,15.876529800514
46.85,29.4216601905112
46.95,23.3385308305797
47.05,26.5986160404683
47.15,9.2482700505854
47.25,9.06774849059683
47.35,13.5190523905683
47.45,4.97392200057112
47.55,25.1580092705911
47.65,8.43235732060539
47.75,5.07487991065965
47.85,16.2554014706482
47.95,-0.011815159303211
48.05,33.3492279606739
48.15,15.9014897707339
48.25,19.0891427507853
48.35,-4.64007490923183
48.45,7.2732300208053
48.55,17.5475780708196
48.65,7.82549183086525
48.75,19.1105370109738
48.85,28.3884507710194
48.95,30.7566253110595
49.05,46.4787115510138
49.15,42.8611489311794
49.25,27.9656725512993
49.35,59.2257577611879
49.45,57.4419364214907
49.55,57.9906325215192
49.65,48.3695041916534
49.75,96.734113021662
49.85,61.672377921919
49.95,105.488290651899
50.05,51.1486417921103
50.15,100.509684912087
50.25,118.718732152327
50.35,117.285256802513
50.45,158.108300952556
50.55,128.133260922776
50.65,151.883872842981
50.75,192.06439440297
50.85,157.395793813487
50.95,221.912398523233
51.05,255.648747603313
51.15,207.100051503284
51.25,219.818572033207
51.35,197.082222953127
51.45,146.797177773018
51.55,143.793612062987
51.65,154.515698302941
51.75,121.51213259291
51.85,153.147523762901
51.95,209.533526853098
52.05,189.786480642924
52.15,162.519264012973
52.25,165.797177773018
52.35,175.811440613144
52.45,206.627353343124
52.55,293.847097713458
52.65,268.861360553584
52.75,218.265192193938
52.85,366.095367764044
52.95,297.824585424061
53.05,299.290152164158
53.15,316.142840023661
53.25,258.944489913515
53.35,241.908832813201
53.45,215.14395805287
53.55,146.927779392567
53.65,120.364820452413
53.75,147.343426192225
53.85,106.159338922205
53.95,132.051249592053
54.05,138.322031932036
54.15,104.592814272019
54.25,119.116550401828
54.35,119.022723911802
54.45,100.297071961816
54.55,92.7376787316934
54.65,102.484724941868
54.75,134.585682851956
54.85,150.93959455187
54.95,160.311334801942
55.05,166.474027811773
55.15,139.373069901685
55.25,91.0987218516706
55.35,78.5250657814221
55.45,49.0523676212622
55.55,74.8682803512422
55.65,48.2114949210623
55.75,45.753059601028
55.85,62.0167105209481
55.95,46.5547094908824
56.05,38.2767957308367
56.15,28.9086211907967
56.25,44.3527936707054
56.35,18.9917505507282
56.45,23.4394887406682
56.55,33.6164445906254
56.65,25.2518357606168
56.75,38.981053420634
56.85,25.1544435605597
56.95,23.3456622506425
57.05,19.6235760106882
57.15,22.9846191306654
57.25,5.69600824052544
57.35,14.244704340554
57.45,19.8800955105454
57.55,7.34209654061111
57.65,32.0641827805654
57.75,2.24470434055399
57.85,39.1473121404969
57.95,18.9667905805083
58.05,7.70313966058826
58.15,15.0499199404398
58.25,25.612878880594
58.35,6.23757292049117
58.45,17.7755718904255
58.55,19.8693983804512
58.65,25.6888768204626
58.75,11.060617070534
58.85,18.8729640904826
58.95,19.6960082405254
59.05,10.0570513605026
59.15,18.3349651205483
59.25,22.6960082405254
59.35,30.6888768204626
59.45,29.1508778505283
59.55,0.334965120548276
59.65,23.5012238404112
59.75,16.7827033104883
59.85,3.33496512054828
59.95,11.9703562905397
60.05,24.1544435605597
60.15,11.4359230306368
60.25,13.6995739505569
